id,year,Titel,novel,num_phrases
22553529,1890,Untersuchungen über das Gesetz der Temperaturabnahme in der Verticalen auf Grund verschiedener Formeln zur barometrischen Höhenmessung,1,7
22553533,1890,Beiträge zur Kenntnis des Unteren Muschelkalks bei Jena,1,4
22553535,1890,Herbert Spencers Erziehungslehre. Eine kritische Untersuchung,1,2
22553536,1890,Über Abstraktion. Eine psychologischpädagogische Monographie,1,2
22553538,1890,Der religionsphilosophische Standpunkt der sogenannten deutschen Theologie dargestellt unter vornehmlicher Berücksichtigung von Meister Eckhart,1,4
22553539,1890,"Untersuchungen über die künstliche Verdauung landwirthschaftlicher Futtermittel nach Stutzer, über Pepsinwirkungen im Allgemeinen und einen Versuch die Verdaulichkeit der Steinnussspähne festzustellen",1,9
22553542,1890,Über die Einwirkung von Chlorkohlenoxyd auf Nitroamidophenol,1,3
22553546,1890,Über die Wärmeleitung und ihre Abhängigkeit von der Temperatur in den Dämpfen von Benzol und Schwefelkohlenstoff,1,6
22553547,1890,"Der Religionsbegriff bei Schleiermacher und seinen namhaftesten Nachfolgern, unter vornehmlicher Berücksichtigung derjenigen, bei welchen Hegelsche und Neu-Kantische Einflüsse zu erkennen sind.",1,8
22553551,1890,Einwirkung von Methylenchlorid auf Piperidin,1,3
22553552,1890,Über die Einwirkung von p- und o-Toluidin auf Dibrombernsteinsäureäthylester,1,4
22553556,1890,Über einige Derivate des Nitro-β-Naphtochinons,1,2
22553559,1890,Die Erbfolgeordnung des Schwabenspiegels.,1,2
22553608,1890,Untersuchungen über die Gothaer Handschrift des „Herzog Ernst“,1,3
22553610,1890,"Schiffs-, Tonnen- und Personenfrequenz auf dem atlantischen Ozean",1,2
22553616,1890,Über Pyridinderivate aus Propionaldehydammoniak und Propionaldehyd.,1,3
