id,Gymnasium,domestic,n_study,technical
22841646,,,,
22841647,,,,
22841648,,,,
22841649,,,,
22841650,,,,
22841651,,,,
22841652,,,,
22841653,,,,
22841654,,,,
22841655,,,,
22841656,,,,
22841657,,,,
22841658,,,,
22841659,,,,
22841660,,,,
22841661,,,,
22841702,,,,
22841703,,,,
22841704,,,,
22841705,,,,
22841706,,,,
22841707,,,,
22841708,,,,
22841709,,,,
22841710,,,,
22841711,,,,
22841712,,,,
22841713,,,,
22841714,,,,
22841715,,,,
22841716,,,,
22841717,,,,
22841718,,,,
22841719,,,,
22841720,,,,
22841721,,,,
22841722,,,,
22841723,,,,
22841724,,,,
22841725,,,,
22841726,,,,
22841727,,,,
22841728,,,,
22841729,,,,
22841730,,,,
22841731,,,,
22841732,,,,
22841733,,,,
22841734,,,,
22841742,,,,
22841743,,,,
22841744,,,,
22841745,,,,
22841746,,,,
22841747,,,,
22841748,,,,
22841749,,,,
22841871,,,,
22841872,,,,
22841873,,,,
22841874,,,,
22841875,,,,
22841876,,,,
22841877,,,,
22841878,,,,
22841879,,,,
22841880,,,,
22841881,,,,
22841882,,,,
22841883,,,,
22841884,,,,
22841885,,,,
22841886,,,,
22841887,,,,
22841888,,,,
22841889,,,,
22841890,,,,
22841891,,,,
22841892,,,,
22841893,,,,
22841897,,,,
22841898,,,,
22841899,,,,
22841900,,,,
22841901,,,,
22841902,,,,
22841903,,,,
22841904,,,,
22841905,,,,
22841906,,,,
22841907,,,,
22841908,,,,
22841909,,,,
22841910,,,,
22841911,,,,
22841912,,,,
22841919,,,,
22841920,,,,
22841921,,,,
22841922,,,,
22841923,,,,
22841924,,,,
22841925,,,,
22841926,,,,
22841927,,,,
22841928,,,,
22841929,,,,
22841930,,,,
22841931,,,,
22841932,,,,
22841933,,,,
22841934,,,,
22841935,,,,
22841936,,,,
22841937,,,,
22841938,,,,
22841939,,,,
22841940,,,,
22841941,,,,
22841942,,,,
22841943,,,,
22841944,,,,
22841945,,,,
22841946,,,,
22841947,,,,
22841948,,,,
22841949,,,,
22841950,,,,
22841951,,,,
22841952,,,,
22841953,,,,
22841954,,,,
22841955,,,,
22841956,,,,
22841957,,,,
22841958,,,,
22842012,,,,
22842013,,,,
22842014,,,,
22842015,,,,
22842016,,,,
22842017,,,,
22842018,,,,
22842019,,,,
22842020,,,,
22842021,,,,
22842022,,,,
22842023,,,,
22842024,,,,
22842025,,,,
22842026,,,,
22842027,,,,
22842028,,,,
22842029,,,,
22842030,,,,
22842031,,,,
22842032,,,,
22842033,,,,
22842034,,,,
22842035,,,,
22842036,,,,
22842037,,,,
22842038,,,,
22842039,,,,
22842040,,,,
22842041,,,,
22842042,,,,
22842043,,,,
22842044,,,,
22842045,,,,
22842046,,,,
22842047,,,,
22842048,,,,
22842049,,,,
22842053,,,,
22842054,,,,
22842087,,,,
22842088,,,,
22842089,,,,
22842090,,,,
22842091,,,,
22842092,,,,
22842093,,,,
22842094,,,,
22842095,,,,
22842096,,,,
22842097,,,,
22842098,,,,
22842099,,,,
22842100,,,,
22842101,,,,
22842102,,,,
22842103,,,,
22842111,,,,
22842279,,,,
22842280,,,,
22842282,,,,
22842283,,,,
22842284,,,,
22842285,,,,
22842286,,,,
22842287,,,,
22842288,,,,
22842289,,,,
22842290,,,,
22842291,,,,
22842292,,,,
22842293,,,,
22842294,,,,
22842296,,,,
22842297,,,,
22842298,,,,
22842303,,,,
22842305,,,,
22842306,,,,
22842307,,,,
22842308,,,,
22842309,,,,
22842310,,,,
22842311,,,,
22842312,,,,
22842469,,,,
22842470,,,,
22842471,,,,
22842472,,,,
22842473,,,,
22842474,,,,
22842475,,,,
22842476,,,,
22842477,,,,
22842478,,,,
22842479,,,,
22842480,,,,
22842481,,,,
22842482,,,,
22842483,,,,
22842484,,,,
22842485,,,,
22842486,,,,
22842487,,,,
22842488,,,,
22842489,,,,
22842490,,,,
22842491,,,,
22842492,,,,
22842493,,,,
22842494,,,,
22842495,,,,
22842496,,,,
22842497,,,,
22842498,,,,
22842499,,,,
22842500,,,,
22842501,,,,
